n,o,o1,o2,o3
2,0.0000027,0.0000048,0.0000028,0.0000029
4,0.0000045,0.0000044,0.0000045,0.0000045
8,0.000007,0.0000071,0.0000071,0.0000071
16,0.0000169,0.0000116,0.0000116,0.0000164
32,0.0000301,0.0000407,0.0000302,0.0000304
64,0.0000389,0.0000443,0.0000844,0.000039
128,0.000101,0.0001212,0.0001352,0.0000875
256,0.0001594,0.0001879,0.0003348,0.0002279
512,0.00033,0.0005304,0.000588,0.0003065
1024,0.0006163,0.0006812,0.0009542,0.0005884
2048,0.001177,0.0021834,0.0012534,0.0012311
4096,0.002344,0.0031493,0.0023299,0.0026242
8192,0.004679,0.0052373,0.0047465,0.0056817
16384,0.0099906,0.0107462,0.0134097,0.0116846
32768,0.019678,0.0237866,0.0247014,0.0209775
65536,0.0411806,0.0555427,0.0457423,0.0419474
